Id,SalePrice
1461,78340.85862003372
1462,111804.79264323413
1463,153359.17228235246
1464,161043.39228582813
1465,165175.0214279649
1466,146465.54484166938
1467,127387.17629978422
1468,136353.84052870225
1469,157879.775004306
1470,72437.5338499461
1471,101895.90197024599
1472,82263.87365136063
1473,81116.84200950211
1474,103409.51109169854
1475,74126.61177180789
1476,344528.97897197236
1477,240089.67013401503
1478,266151.67905868986
1479,259748.7762679346
1480,390194.8094635433
1481,267533.83334823826
1482,173535.99252137577
1483,146051.17422952817
1484,139259.3756902701
1485,163487.753188355
1486,171901.23047301208
1487,295703.8936427488
1488,183574.07876022242
1489,188281.9497770312
1490,193396.31206178037
1491,186206.77330004855
1492,84545.56369399617
1493,167697.50352599844
1494,251452.43877998192
1495,226556.17472634092
1496,191060.32254495868
1497,156156.80473569746
1498,151153.98390638444
1499,136609.428972585
1500,122108.98114934599
1501,169441.43692497665
1502,109840.260269964
1503,306505.21622812445
1504,197459.93168123963
1505,173497.6922106092
1506,148157.15178882808
1507,201557.46219580027
1508,159180.91268662212
1509,129136.01412724692
1510,103814.46448988945
1511,115064.1721748194
1512,129803.30108834198
1513,128506.88461676275
1514,99134.93837828015
1515,175885.31126570015
1516,129613.23156518408
1517,140460.69537638593
1518,90009.51791482687
1519,167735.73117311625
1520,75238.2776648833
1521,90571.3953421918
1522,145152.1110625699
1523,93783.45410983416
1524,79469.32893109147
1525,76766.89100922237
1526,70442.37261958083
1527,98410.4724597492
1528,101153.78817028331
1529,116421.3326516276
1530,160579.41693663585
1531,72462.53439612803
1532,54981.27038388245
1533,108714.48235370673
1534,106083.7323299764
1535,112774.82312839862
1536,70142.72198969184
1537,33741.56323401944
1538,146836.9307942154
1539,200599.35589625838
1540,107363.60277672799
1541,110981.35054790613
1542,134199.0504085034
1543,155599.3558835386
1544,45978.41276891215
1545,107040.17950326961
1546,106218.69203214778
1547,111191.17170558765
1548,123288.33272675413
1549,106591.11175831791
1550,121129.72672592511
1551,69276.46774236427
1552,125173.79678923497
1553,138102.740702842
1554,95653.17254391382
1555,114865.18843211222
1556,32627.440813909518
1557,85784.41653305397
1558,86227.24972729001
1559,65841.99130495184
1560,66511.10640026256
1561,88940.54610388784
1562,105842.17670252814
1563,88177.20765116427
1564,105710.13622169208
1565,129299.67099987192
1566,170347.96034550166
1567,63561.70903850382
1568,175307.88394657348
1569,106860.88852699101
1570,107114.97904102423
1571,63786.92530617502
1572,112312.97552202537
1573,214652.42942064686
1574,106813.93670097832
1575,181820.073168676
1576,192943.33838090242
1577,167171.6217942146
1578,137999.86459573533
1579,92189.69421558757
1580,164157.0952155072
1581,108245.34585057909
1582,94727.45820018661
1583,209612.73187330388
1584,198288.05086595216
1585,99285.34123274952
1586,78966.61189060553
1587,93362.95685471699
1588,111091.63053647464
1589,87334.9815826175
1590,77738.34059952328
1591,68477.042366773
1592,100899.84259345138
1593,110562.89656102506
1594,145411.92274788138
1595,90252.666500816
1596,186725.69099028222
1597,183566.2465512473
1598,190955.83629139373
1599,160642.64835285873
1600,146771.45106958656
1601,25174.42311127321
1602,107482.95989370788
1603,26598.29507224541
1604,213141.043953022
1605,186128.4966911733
1606,102299.03759080416
1607,108869.46489732026
1608,176477.5866833633
1609,166750.862288772
1610,130359.10068267316
1611,93446.54028827103
1612,157146.13741947233
1613,140068.16085147893
1614,91722.74904568249
1615,82912.72418081283
1616,63487.88536409184
1617,73717.59199178324
1618,95835.4103667218
1619,96082.19178535871
1620,157248.3361044859
1621,103248.52425330004
1622,118698.49561971298
1623,196517.34264315089
1624,146582.10479240224
1625,87356.77955437207
1626,130148.3784351215
1627,157517.72715583572
1628,238598.40242178156
1629,161191.64778155135
1630,287673.72600660357
1631,214019.6499543871
1632,210477.4190823175
1633,156795.6861990242
1634,148764.52378637146
1635,143232.83873414563
1636,112246.73159663321
1637,156535.08355334995
1638,161364.77857830084
